client_id,Cluster
48212,0
90678,3
70072,1
166253,1
144135,3
134648,1
109015,0
60322,1
130500,1
107287,0
126659,3
35091,4
6757,1
34833,3
148221,1
114415,3
97154,1
73831,3
137811,0
44798,3
35746,1
833,1
112443,0
130362,0
3843,0
57484,3
100739,1
133140,0
176881,1
173080,0
25576,1
141993,1
64202,1
45683,0
70574,1
120364,3
68312,1
144459,0
101292,0
130609,0
88578,1
145841,0
30989,3
162274,3
57872,1
139794,0
119961,0
43990,3
2474,3
165725,1
61192,0
11744,1
10948,3
27729,0
138979,0
6037,0
1461,0
124872,3
161408,0
170812,3
97578,0
114443,1
112597,1
171913,0
134662,0
158396,1
39838,1
101435,0
148900,1
43830,1
115978,0
171074,1
158843,0
49492,1
108700,1
33425,3
96759,1
35700,3
78860,1
121743,3
40014,0
150250,1
147075,0
40983,3
24781,3
101814,1
143043,1
70024,0
92253,1
107224,0
169917,1
141046,3
134840,3
87582,0
124573,3
172553,3
93477,1
165278,1
82402,1
21896,1
92597,0
130118,0
99785,1
134570,3
59278,1
76705,1
103697,0
158025,0
85931,0
36183,0
107750,1
147966,4
52840,1
152342,0
94657,0
11649,0
116220,1
40180,0
28992,1
99327,1
32681,1
83149,1
27645,3
25642,1
100549,0
18390,3
151802,0
94970,0
18439,0
37244,1
131015,3
152814,0
147966,4
27597,1
80007,3
35101,3
134604,1
22692,0
118070,1
66456,3
155656,1
151601,0
168931,0
25041,0
111775,4
175797,3
46666,1
109418,1
17174,4
62969,3
176318,0
43254,3
86068,1
141189,1
139505,1
90623,1
53279,3
5235,3
37114,0
104961,1
53876,1
118857,3
64094,0
70916,0
110807,1
45257,0
67561,3
45691,0
98007,0
84741,3
74422,3
173162,3
79510,1
42735,1
40456,1
120338,0
2373,4
56675,1
20314,1
13579,0
121367,1
46381,0
7437,0
121043,0
31076,0
27271,0
61908,0
79864,0
47467,0
7000,0
152901,0
12069,1
80785,1
130554,0
39377,0
43283,3
46668,1
26734,1
116135,1
132885,1
160063,3
144598,1
2736,1
9070,1
103407,0
144002,3
58715,0
145397,1
61187,3
21147,3
18230,1
91526,0
47312,0
151737,1
144193,3
80653,0
152871,0
12041,0
57955,0
161308,1
15074,3
161256,0
28550,0
59987,1
96430,0
46672,1
99047,1
71116,1
110264,1
22548,0
9962,0
5967,1
35937,0
34374,1
101230,0
94514,1
41445,1
129948,0
145970,1
177442,0
3221,3
95530,1
906,0
100008,3
9251,0
4353,0
97338,1
90356,0
142103,1
109192,0
83466,1
55933,0
154303,3
130459,0
75013,0
117663,1
101143,1
139751,0
20910,1
71792,3
116738,1
166540,1
158403,1
148026,0
146106,0
92025,0
11384,0
47039,3
98317,3
15310,1
163543,3
22731,4
34128,1
44239,1
149607,3
71914,0
3698,1
152392,1
142008,0
140919,0
134677,1
117542,3
45389,3
165263,1
100268,0
96541,1
97074,1
165000,1
68991,3
100630,0
25127,1
173735,1
38541,3
14476,3
80311,0
173190,1
130631,0
40159,1
109457,1
138723,0
32481,1
88513,1
19276,1
13687,0
112658,3
143207,0
40768,0
61065,0
155157,0
58699,1
124976,0
113932,1
147698,1
21405,1
35091,4
108838,3
113829,0
133072,1
82400,0
37016,0
97379,3
61650,1
64100,4
16910,2
118347,1
164348,1
148571,3
132783,1
86348,0
54009,1
74042,1
17729,0
110805,0
121971,3
18996,0
105889,1
127496,3
78174,1
41,1
89420,1
145885,1
145645,3
57798,1
32021,0
156088,0
59262,3
71706,1
130449,1
14699,0
17498,1
13487,3
98917,0
46395,1
33140,1
175782,0
88496,3
53157,1
165638,1
20405,3
110790,3
155633,0
104880,1
58581,1
106370,4
148901,3
60777,0
141697,3
30242,1
110327,0
34089,1
20570,2
59768,0
117402,1
65449,0
53182,0
176612,0
93383,1
93140,1
15927,0
108661,0
25501,3
128157,0
167662,3
41250,1
107077,3
108787,1
145476,0
15539,1
36179,0
30207,1
114078,3
170459,1
46594,3
29026,1
106985,3
20879,1
89035,1
86744,1
159111,3
95757,3
125091,0
46428,0
91887,1
105418,1
30644,1
15376,1
114943,1
110509,1
21515,3
67764,1
153788,3
28585,3
1725,1
135803,3
10499,0
135399,0
9292,0
149133,1
15456,1
11033,0
112993,4
63342,3
9993,0
95007,0
50849,0
66588,1
100995,3
14014,3
139487,1
94698,0
95174,1
73574,0
32435,0
63832,1
18190,1
58789,3
113293,1
150058,1
108954,1
100336,0
165408,0
39199,0
113386,3
118682,3
175188,0
157390,1
102294,1
84229,1
43895,0
165696,1
55090,1
81247,3
115661,1
156045,0
96844,0
63672,3
29105,1
31525,0
9133,0
59464,1
73948,1
82999,1
911,1
69365,1
106340,0
68373,0
165278,1
48137,1
94226,1
110797,0
58182,3
139620,1
126308,1
101537,0
143483,1
150921,1
176230,0
92380,0
78417,0
17003,1
168047,3
97850,1
54943,1
150016,1
83767,4
14025,1
85958,0
13352,3
138074,1
66691,1
81185,3
8621,0
44589,1
30554,0
175445,1
1153,1
130355,0
46380,3
32963,1
156170,1
166317,3
44267,1
1509,3
128512,0
104543,3
103623,1
5095,0
127126,3
166493,1
33976,3
113937,0
99615,1
10713,1
128432,1
116445,1
57470,1
60732,0
62860,3
10103,0
13956,3
47455,4
131149,1
69847,3
101708,0
91931,0
25407,1
169668,0
10151,3
18320,0
64157,1
25410,3
46659,3
130431,3
141100,0
124162,3
96680,1
147832,3
14287,0
49069,0
97867,1
90900,0
19747,1
59332,1
175525,1
73706,3
42337,0
2143,0
28216,1
139068,1
78466,1
69773,0
19596,0
144698,0
61650,1
64696,0
32473,0
170059,1
56885,3
155987,1
173418,1
95037,0
54821,1
158244,3
27806,3
87484,1
10228,1
82906,1
98501,1
137216,1
106303,1
43633,1
35911,3
129412,1
13273,0
22270,0
1194,3
28016,0
48347,3
98334,0
11151,0
71970,1
176998,0
40668,1
117289,1
